sOccupation,sCISCO
0,0
1,100
2,200
3,300
4,1110
5,1111
6,1112
7,1113
8,1114
9,1210
10,1211
11,1212
12,1213
13,1219
14,1221
15,1222
16,1223
17,1310
18,1311
19,1312
20,1321
21,1322
22,1323
23,1324
24,1330
25,1341
26,1342
27,1343
28,1344
29,1345
30,1346
31,1349
32,1411
33,1412
34,1420
35,1431
36,1439
37,2111
38,2112
39,2113
40,2114
41,2120
42,2131
43,2132
44,2133
45,2140
46,2141
47,2142
48,2143
49,2144
50,2145
51,2146
52,2149
53,2150
54,2151
55,2152
56,2153
57,2161
58,2162
59,2163
60,2164
61,2165
62,2166
63,2210
64,2211
65,2212
66,2220
67,2221
68,2222
69,2230
70,2240
71,2250
72,2260
73,2261
74,2262
75,2263
76,2264
77,2265
78,2266
79,2267
80,2269
81,2310
82,2320
83,2330
84,2340
85,2341
86,2342
87,2350
88,2351
89,2352
90,2353
91,2354
92,2355
93,2356
94,2359
95,2410
96,2411
97,2412
98,2413
99,2420
100,2421
101,2422
102,2423
103,2424
104,2431
105,2432
106,2433
107,2434
108,2511
109,2512
110,2513
111,2514
112,2519
113,2520
114,2521
115,2522
116,2523
117,2529
118,2611
119,2612
120,2619
121,2621
122,2622
123,2631
124,2632
125,2633
126,2634
127,2635
128,2636
129,2641
130,2642
131,2643
132,2651
133,2652
134,2653
135,2654
136,2655
137,2656
138,2659
139,3111
140,3112
141,3114
142,3115
143,3116
144,3117
145,3118
146,3119
147,3121
148,3122
149,3123
150,3131
151,3132
152,3133
153,3134
154,3135
155,3139
156,3141
157,3142
158,3143
159,3151
160,3152
161,3153
162,3154
163,3155
164,3211
165,3212
166,3213
167,3214
168,3221
169,3222
170,3230
171,3240
172,3251
173,3252
174,3253
175,3254
176,3255
177,3256
178,3257
179,3258
180,3259
181,3311
182,3312
183,3313
184,3314
185,3315
186,3321
187,3322
188,3323
189,3324
190,3331
191,3332
192,3333
193,3334
194,3339
195,3340
196,3341
197,3342
198,3343
199,3344
200,3351
201,3352
202,3353
203,3354
204,3355
205,3359
206,3411
207,3412
208,3413
209,3421
210,3422
211,3423
212,3431
213,3432
214,3433
215,3434
216,3435
217,3511
218,3512
219,3513
220,3514
221,3521
222,3522
223,4120
224,4131
225,4132
226,4200
227,4211
228,4212
229,4213
230,4214
231,4221
232,4222
233,4223
234,4224
235,4225
236,4226
237,4227
238,4229
239,4311
240,4312
241,4313
242,4321
243,4322
244,4323
245,4411
246,4412
247,4413
248,4414
249,4415
250,4416
251,4419
252,5111
253,5112
254,5113
255,5120
256,5131
257,5132
258,5141
259,5142
260,5151
261,5152
262,5153
263,5161
264,5162
265,5163
266,5164
267,5165
268,5169
269,5211
270,5212
271,5220
272,5221
273,5222
274,5223
275,5230
276,5240
277,5241
278,5242
279,5243
280,5244
281,5245
282,5246
283,5249
284,5310
285,5311
286,5312
287,5321
288,5322
289,5329
290,5411
291,5412
292,5413
293,5414
294,5419
295,6110
296,6111
297,6112
298,6113
299,6114
300,6120
301,6121
302,6122
303,6123
304,6129
305,6130
306,6210
307,6220
308,6221
309,6222
310,6223
311,6224
312,6300
313,6310
314,6320
315,6330
316,6340
317,7110
318,7111
319,7112
320,7113
321,7114
322,7115
323,7119
324,7121
325,7122
326,7123
327,7124
328,7125
329,7126
330,7127
331,7131
332,7132
333,7133
334,7211
335,7212
336,7213
337,7214
338,7215
339,7220
340,7221
341,7222
342,7223
343,7224
344,7230
345,7231
346,7232
347,7233
348,7234
349,7310
350,7311
351,7312
352,7313
353,7314
354,7315
355,7316
356,7317
357,7318
358,7319
359,7320
360,7321
361,7322
362,7323
363,7410
364,7411
365,7412
366,7413
367,7420
368,7421
369,7422
370,7510
371,7511
372,7512
373,7513
374,7514
375,7515
376,7516
377,7521
378,7522
379,7523
380,7531
381,7532
382,7533
383,7534
384,7535
385,7536
386,7541
387,7542
388,7543
389,7544
390,7549
391,8111
392,8112
393,8113
394,8114
395,8120
396,8121
397,8122
398,8130
399,8131
400,8132
401,8140
402,8141
403,8142
404,8143
405,8150
406,8151
407,8152
408,8153
409,8154
410,8155
411,8156
412,8157
413,8159
414,8160
415,8170
416,8171
417,8172
418,8180
419,8181
420,8182
421,8183
422,8189
423,8210
424,8211
425,8212
426,8219
427,8311
428,8312
429,8321
430,8322
431,8330
432,8331
433,8332
434,8341
435,8342
436,8343
437,8344
438,8350
439,9110
440,9111
441,9112
442,9121
443,9122
444,9123
445,9129
446,9210
447,9211
448,9212
449,9213
450,9214
451,9215
452,9216
453,9312
454,9313
455,9321
456,9329
457,9330
458,9331
459,9332
460,9333
461,9334
462,9411
463,9412
464,9510
465,9520
466,9600
467,9610
468,9611
469,9612
470,9613
471,9620
472,9621
473,9622
474,9623
475,9624
476,9629
477,1120
478,2611
479,2611
480,1120
481,2611
482,2611
483,7541
484,2221
485,7113
486,5312
