sIndustry,cDescription
0,Accommodation and Food Service Activities
1,Activities of Households as Employers; Undifferentiated Goods- And Services-Producing Activities of Households for Own Use
2,Administrative and Support Service Activities
3,"Agriculture, Forestry and Fishing"
4,"Arts, Entertainment and Recreation"
5,Construction
6,Education
7,"Electricity, Gas, Steam, and Air Conditioning Supply"
8,Financial and Insurance Activities
9,Human Health and Social Work Activities
10,Information and Communication
11,Manufacturing
12,Mining and Quarrying
13,Other Service Activities
14,"Professional, Scientfic and Technical Activities"
15,Public Administration and Defence; Complulsory Social Security
16,Real Estate Activities
17,Transportation and Storage
18,"Water Supply; Sewerage, Waste Management and Remediation Activities"
19,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
